Name in documentation	Category	Qty	Full Name	Notes	Supplier 1	Part No	Link
10 cm x 30 cm breadboard	part	2	MB1030/M		Thorlabs	MB1030/M	https://www.thorlabs.com/thorproduct.cfm?partnumber=MB1030/M
30 cm x 45 cm breadboard	part	1	MB3045/M		Thorlabs	MB3045/M	https://www.thorlabs.com/thorproduct.cfm?partnumber=MB3045/M
4mm post spacer	part	8	RS4M		Thorlabs	RS4M	https://www.thorlabs.com/thorproduct.cfm?partnumber= RS4M
angle	part	4	C1515/M		Thorlabs	RS4M	https://www.thorlabs.com/thorproduct.cfm?partnumber=C1515/M
Arduino Board Due Core	part	2					
bpod	part	1	Bpod State Machine r2+		Sanworks	1036	https://sanworks.io/shop/viewproduct?productID=1036
bpod shield	part	2	Bpod Arduino Shield		Sanworkds	1012	https://sanworks.io/shop/viewproduct?productID=1012
cable ties	part	many					
circuit board	part	some	BB-32621		Digi-Key Electronics	377-2094-ND	https://www.digikey.de/de/products/detail/bud-industries/BB-32621/4156445
ethernet cable	part	1					
headless M6 screw	part	4	SS6MS20		Thorlabs	SS6MS20	https://www.thorlabs.com/thorproduct.cfm?partnumber= SS6MS20
jumper wires	part	many	Jumper wires		Digikey	1568-1513-ND	https://www.digikey.de/en/products/detail/sparkfun-electronics/PRT-12796/5993861
M6 screws	part	10					
pillar	part	4					
port interface board	part	1					
solenoid pinch valve	part	1	pinch valve		BIOZOL Diagnostica Vertrieb GmbH	075P2NC12-01S	https://www.lab-club.com/2-way-NC-pinch-valve-type-075P2NC12-01S
tube	part	1	Silicon Select tubing		BIOZOL Diagnostica Vertrieb GmbH	10025-01S	https://www.lab-club.com/Silicon-Select-tubing-type-10025-01S-50-feet-approx-152-m
